fee_type, div_time, base_time, adult_fee, student_fee, senior_fee, child_fee, extension_adult_fee, extension_student_fee, extension_senior_fee, extension_child_fee, note, shop_id
0, 0, 3, 440, 0, 0, 220, 0, 0, 0, 0, "", 1
0, 1, 3, 660, 0, 0, 330, 0, 0, 0, 0, "", 1
1, 2, 2, 1200, 1200, 1200, 0, 500, 500, 500, 0, "", 1
1, 2, 3, 1700, 1700, 1700, 0, 0, 0, 0, 0, "",1
2, 2, 2, 1350, 1350, 1350, 0, 550, 550, 550, 0, "", 1
2, 2, 3, 1900, 1900, 1900, 0, 0, 0, 0, 0, "", 1
3, 2, 2, 1500, 1500, 1500, 0, 600, 600, 600, 0, "", 1
3, 2, 3, 2100, 2100, 2100, 0, 0, 0, 0, 0, "", 1
